项目编码,受助单位名称,资助金额
83526,北京新阳光慈善基金会,2580847.73
106545,北京新阳光慈善基金会,
110446,北京新阳光慈善基金会,3156016.36
96668,北京友好传承文化基金会,216100
123486,北京友好传承文化基金会,1104700
65671,北京市企业家环保基金会,100000
82355,北京市企业家环保基金会,100000
80742,北京市企业家环保基金会,
89602,北京市企业家环保基金会,100000
90042,北京市企业家环保基金会,
91319,北京市企业家环保基金会,100000
102389,北京市企业家环保基金会,100000
106490,北京市企业家环保基金会,100000
109288,北京市企业家环保基金会,2091720
110446,北京市企业家环保基金会,1836973.21
119845,北京市企业家环保基金会,500000
92618,杭州市送温暖工程基金会,10000000
109336,杭州市送温暖工程基金会,5000000
66463,北京市陆学艺社会学发展基金会,50000
106381,杭州市残疾人福利基金会,230000
91316,北京桂馨慈善基金会,868692
91315,北京桂馨慈善基金会,868692
109906,北京桂馨慈善基金会,450000
70024,北京成龙慈善基金会,18900000
99179,北京成龙慈善基金会,5835550
70001,北京成龙慈善基金会,18900000
69731,浙江省残疾人福利基金会,1000000
69746,浙江省残疾人福利基金会,4000000
68886,浙江省老年事业发展基金会,500000
67963,杭州市老龄事业发展基金会,170000
106574,杭州市老龄事业发展基金会,300000
103717,杭州市老龄事业发展基金会,210000
71055,杭州市萧山区老年基金会,100000
71055,桐庐县老龄事业发展基金会,95000
65603,北京水源保护基金会,771970
69622,北京水源保护基金会,424600
77655,北京水源保护基金会,311558
62841,北京水源保护基金会,224000
90147,北京水源保护基金会,56000
90230,北京水源保护基金会,27447
89745,北京水源保护基金会,
99797,北京水源保护基金会,532500
67860,衢州市孔子教育基金会,420000
80692,北京凯恩克劳斯经济研究基金会,1000000
65591,北京市公安民警抚助基金会,1000000
65596,北京市公安民警抚助基金会,2000000
67410,北京市公安民警抚助基金会,2000000
63991,北京市公安民警抚助基金会,1000000
83584,尚德教育基金会,1060000
106412,尚德教育基金会,800000
64270,北京师范大学教育基金会,112500
64273,北京师范大学教育基金会,200000
64274,北京师范大学教育基金会,145340
64272,北京师范大学教育基金会,14000
64289,北京师范大学教育基金会,250000
64292,北京师范大学教育基金会,3673627.84
75114,北京师范大学教育基金会,500000
83403,北京师范大学教育基金会,112000
83403,北京师范大学教育基金会,176000
83403,北京师范大学教育基金会,82000
88214,北京师范大学教育基金会,200000
96855,北京师范大学教育基金会,9135000
102420,北京师范大学教育基金会,300000
103415,北京师范大学教育基金会,200000
106998,北京师范大学教育基金会,200000
119350,北京师范大学教育基金会,218800
119355,北京师范大学教育基金会,400000
119361,北京师范大学教育基金会,200000
119367,北京师范大学教育基金会,200000
119374,北京师范大学教育基金会,15000
119397,北京师范大学教育基金会,500000
119413,北京师范大学教育基金会,10815000
120944,北京师范大学教育基金会,50000
81845,北京林业大学教育基金会,100000
95326,北京林业大学教育基金会,120000
92787,北京市仁爱慈善基金会,3000000
77699,北京市仁爱慈善基金会,100000
77695,北京市仁爱慈善基金会,144000
65640,北京市西部阳光农村发展基金会,500000
65630,北京市西部阳光农村发展基金会,30000
68654,北京市西部阳光农村发展基金会,450000
68658,北京市西部阳光农村发展基金会,1310000
69622,北京市西部阳光农村发展基金会,450508.15
92787,北京市西部阳光农村发展基金会,3000000
92709,北京市西部阳光农村发展基金会,772756
106457,北京市西部阳光农村发展基金会,996400
106458,北京市西部阳光农村发展基金会,211500
106491,北京市西部阳光农村发展基金会,100000
121962,北京市西部阳光农村发展基金会,927554.59
104186,北京市希望公益基金会,11500000
112321,北京市希望公益基金会,9000000
96812,福建省少数民族发展基金会,200000
83209,福建省少数民族发展基金会,200000
61599,福建省少数民族发展基金会,650000
107481,福建省消防事业发展基金会,
90303,北京协和医学院教育基金会,500689.2
65588,北京文化发展基金会,1014035
64266,厦门大学教育发展基金会,245380
88223,厦门大学教育发展基金会,230000
96665,厦门大学教育发展基金会,355610
123488,厦门大学教育发展基金会,364905
83211,厦门中山医院基金会,100000
96811,厦门中山医院基金会,100000
69767,厦门残疾人福利基金会,2000000
106371,厦门残疾人福利基金会,723800
69780,厦门残疾人福利基金会,3472765.28
110577,厦门残疾人福利基金会,273700
111290,北京国际音乐节艺术基金会,2000000
64212,北京市农发扶贫基金会,250000
64266,北京市中国人民大学教育基金会,495858
81350,北京市中国人民大学教育基金会,50000
96665,北京市中国人民大学教育基金会,532507
123488,北京市中国人民大学教育基金会,425855
126305,北京市中国人民大学教育基金会,2000000
100041,福建省残疾人福利基金会,331600
69746,福建省残疾人福利基金会,2272000
102919,福建省龙岩扶贫基金会,320000
61259,福建省龙岩扶贫基金会,200000
107438,福建富闽基金会,
93239,上海阎宝航社会公益基金会,167729
106363,北京市体育基金会,3000000
87706,北京市戏曲艺术发展基金会,200000
91752,北京市戏曲艺术发展基金会,200000
65673,上海交通大学教育发展基金会,200000
88223,上海交通大学教育发展基金会,200000
99337,上海交通大学教育发展基金会,72000
119792,上海交通大学教育发展基金会,1000000
126306,上海中欧国际工商学院教育发展基金会,2000000
81344,上海同济大学教育发展基金会,50000
106571,上海同济大学教育发展基金会,160000
63986,上海市华东师范大学教育发展基金会,500621
64289,上海市华东师范大学教育发展基金会,250000
119397,上海市华东师范大学教育发展基金会,500000
88223,上海财经大学教育发展基金会,240000
64115,上海真爱梦想公益基金会,2381559.35
65638,上海真爱梦想公益基金会,1000000
70024,上海真爱梦想公益基金会,8000000
69080,上海真爱梦想公益基金会,2356000
77758,上海真爱梦想公益基金会,50000
80827,上海真爱梦想公益基金会,100000
91255,上海真爱梦想公益基金会,3004987
91298,上海真爱梦想公益基金会,550000
96056,上海真爱梦想公益基金会,3968880
99179,上海真爱梦想公益基金会,3244780.03
92700,上海真爱梦想公益基金会,400000
92708,上海真爱梦想公益基金会,1000000
92758,上海真爱梦想公益基金会,920000
90887,上海真爱梦想公益基金会,
106219,上海真爱梦想公益基金会,309000
106482,上海真爱梦想公益基金会,250000
96051,上海真爱梦想公益基金会,328000
110446,上海真爱梦想公益基金会,4872004.73
118009,上海真爱梦想公益基金会,4089150
111251,上海真爱梦想公益基金会,
121138,上海真爱梦想公益基金会,508820
105684,北京四中校友促进教育基金会,843565
95505,北京妇女儿童发展基金会,20000
83719,北京妇女儿童发展基金会,2639078.12
64226,北京妇女儿童发展基金会,1694263.64
110640,北京妇女儿童发展基金会,100000
92787,上海联劝公益基金会,3000000
92794,上海联劝公益基金会,452000
66967,上海联劝公益基金会,200000
69618,上海联劝公益基金会,310000
64212,上海联劝公益基金会,410000
106455,上海联劝公益基金会,120000
106533,上海联劝公益基金会,100000
110392,上海联劝公益基金会,30000
110446,上海联劝公益基金会,2218634.43
123481,北京工商大学教育基金会,100000
90890,上海科普教育发展基金会,139505.2
92782,北京修远经济与社会研究基金会,500000
106506,北京修远经济与社会研究基金会,500000
98475,上海市拥军优属基金会,187850
74187,上海市慈善基金会,5000000
81855,上海市慈善基金会,300000
74022,上海市慈善基金会,
94201,上海市慈善基金会,3000000
94202,上海市慈善基金会,3000000
97702,上海市慈善基金会,300000
94056,上海市慈善基金会,250000
94060,上海市慈善基金会,200000
94067,上海市慈善基金会,1000000
110390,上海市慈善基金会,35000
110390,上海市慈善基金会,15000
119961,上海市慈善基金会,15000000
119740,上海市慈善基金会,1600000
97303,上海市华侨事业发展基金会,349369.6
64398,上海市华侨事业发展基金会,794901.93
97319,上海市华侨事业发展基金会,1181769.6
69731,上海市残疾人福利基金会,2170534
110531,上海市残疾人福利基金会,1075000
94068,上海市老年基金会,500000
108506,上海市儿童基金会,100000
108507,上海市儿童基金会,143500
67000,上海市宝山区教育发展基金会,350000
91449,上海市宝山区教育发展基金会,350000
75592,上海交响乐团文化发展基金会,1000000
63987,爱德基金会,3000000
63988,爱德基金会,100000
65679,爱德基金会,100000
74608,爱德基金会,292250
91316,爱德基金会,1000000
100185,爱德基金会,350000
99797,爱德基金会,50000
91321,爱德基金会,1432600
106499,爱德基金会,
110446,爱德基金会,3774355.81
111634,爱德基金会,
101896,常州工程职业技术学院教育发展基金会,60000
69731,河北省残疾人福利基金会,750000
69746,河北省残疾人福利基金会,2180450
69780,河北省残疾人福利基金会,1640000
100001,河北省残疾人福利基金会,3029202
99959,河北省残疾人福利基金会,100000
100053,河北省残疾人福利基金会,475000
99948,河北省残疾人福利基金会,1713700
110541,河北省残疾人福利基金会,4691250
110601,河北省残疾人福利基金会,980000
66318,河北省青少年发展基金会,608900
67164,河北省青少年发展基金会,5700000
69731,河北省邢台残疾人福利基金会,750000
69746,河北省邢台残疾人福利基金会,500000
88081,江苏昌明教育基金会,555860
106177,江苏大学教育发展基金会,15000
106410,江苏国泰国际集团企业发展研究基金会,19510
69746,山西省残疾人福利基金会,2204090
69767,山西省残疾人福利基金会,2520000
100001,山西省残疾人福利基金会,2753820
100041,山西省残疾人福利基金会,331600
100028,山西省残疾人福利基金会,700000
99948,山西省残疾人福利基金会,705000
110531,山西省残疾人福利基金会,9600000
110550,山西省残疾人福利基金会,1330600
110601,山西省残疾人福利基金会,980000
96887,山西省青少年发展基金会,705000
96888,山西省青少年发展基金会,3646745
106393,江苏经贸职业技术学院教育发展基金会,100000
95007,江苏科技大学教育发展基金会,978000
106397,江苏科技大学教育发展基金会,200000
88223,天津大学北洋教育发展基金会,200000
